 Throughput Test - Thu Jan 26 11:36:15 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Asynchronous Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0277	0.0278	0.0278
16	0.0402	0.0556	0.0556	0.0556
32	0.0803	0.1109	0.1112	0.1110
64	0.1604	0.2226	0.2226	0.2223
128	0.3210	0.4485	0.4501	0.4500
256	0.6431	0.8956	0.8987	0.8993
512	1.2965	1.7720	1.7769	1.7762
1024	2.5963	3.4244	3.4302	3.4356
2048	5.1900	6.7560	6.8166	6.8177
4096	7.7675	12.6021	12.6412	12.6435
8192	15.4940	20.6899	20.7862	20.8252
16384	20.6664	27.5536	27.7565	27.7670
32768	27.7669	32.2866	32.3089	32.3086
65536	31.2416	35.4286	35.4253	35.4009
131072	34.4907	37.0268	37.0317	37.0320
262144	36.3670	38.0848	38.0847	38.0810
524288	37.6968	38.5261	38.5330	38.5519
1048576	38.3695	38.7377	38.7468	38.7378
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0280	0.0280	0.0281
16	0.0401	0.0554	0.0553	0.0556
32	0.0813	0.1111	0.1103	0.1106
64	0.1620	0.2225	0.2212	0.2222
128	0.3236	0.4503	0.4487	0.4490
256	0.6496	0.8966	0.8964	0.8961
512	1.2957	1.7832	1.7781	1.7817
1024	2.6025	3.4537	3.4527	3.4566
2048	5.1339	6.8340	6.8625	6.8340
4096	7.7516	13.1015	13.2226	13.1713
8192	12.3895	21.0761	20.8262	20.7626
16384	17.7671	27.6377	27.6101	27.4915
32768	20.8005	32.5817	32.5601	32.5161
65536	23.8090	35.2641	35.2833	35.2782
131072	25.8454	36.9807	36.9859	36.9961
262144	26.9250	37.9451	37.9472	37.9558
524288	27.3893	38.3094	38.3263	38.3464
1048576	27.6941	38.3892	38.3925	38.4146
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0281	0.0281	0.0281
16	0.0402	0.0562	0.0561	0.0561
32	0.0805	0.1111	0.1111	0.1111
64	0.1610	0.2221	0.2222	0.2221
128	0.3196	0.4485	0.4491	0.4487
256	0.6413	0.8966	0.9010	0.9001
512	1.2869	1.7747	1.7751	1.7752
1024	2.5712	3.4488	3.4537	3.4521
2048	3.9685	6.6640	6.6847	6.6922
4096	7.7522	12.4512	12.4879	12.4685
8192	10.3797	20.6190	20.8250	20.8016
16384	13.8844	27.6958	26.7837	26.7763
32768	17.7453	32.1196	32.2827	32.3090
65536	19.2304	35.0192	35.2743	35.2694
131072	20.4179	36.8700	36.9447	36.9420
262144	21.0546	37.8561	37.8548	37.8700
524288	21.4995	38.1398	38.1575	38.1589
1048576	21.6791	37.9956	38.0174	38.0887
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0203	0.0277	0.0278	0.0278
16	0.0407	0.0553	0.0554	0.0556
32	0.0809	0.1124	0.1115	0.1124
64	0.1614	0.2245	0.2242	0.2247
