 Throughput Test - Thu Jan 26 11:58:15 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Asynchronous Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0277	0.0276	0.0278
16	0.0405	0.0555	0.0554	0.0556
32	0.0812	0.1111	0.1107	0.1112
64	0.1611	0.2250	0.2245	0.2244
128	0.3237	0.4500	0.4503	0.4484
256	0.6447	0.8983	0.8996	0.8983
512	1.2974	1.7774	1.7774	1.7696
1024	2.5966	3.4263	3.4341	3.4108
2048	5.1744	6.7951	6.7990	6.8040
4096	7.7558	12.7138	12.6865	12.5904
8192	15.4744	20.7992	20.8435	20.7629
16384	20.7002	27.7686	27.7687	27.7759
32768	27.7010	32.2444	32.2385	32.2621
65536	31.2416	35.3975	35.3365	35.3267
131072	34.4648	36.9764	36.9356	36.9151
262144	36.3127	37.9734	37.8638	37.7801
524288	37.5895	38.3796	38.2028	38.0682
1048576	38.1589	38.3893	38.2658	37.8881
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0281	0.0281	0.0282
16	0.0400	0.0556	0.0556	0.0556
32	0.0800	0.1110	0.1111	0.1113
64	0.1613	0.2220	0.2220	0.2227
128	0.3231	0.4413	0.4433	0.4428
256	0.6450	0.8833	0.8883	0.8892
512	1.2907	1.7813	1.7852	1.7864
1024	2.5878	3.4600	3.4653	3.4415
2048	5.1736	6.9210	6.9297	6.9425
4096	7.7750	13.2873	13.3693	13.3939
8192	12.5019	20.9587	20.8366	20.8432
16384	17.7715	27.5787	27.5842	27.5832
32768	20.8344	32.5233	32.5601	32.5163
65536	23.6427	35.2597	35.2744	35.2695
131072	25.8163	36.9301	36.8901	36.8694
262144	26.9653	37.8279	37.7301	37.6499
524288	27.3150	38.1500	37.9973	37.9243
1048576	27.6018	38.0472	37.9333	37.6149
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0203	0.0278	0.0276	0.0278
16	0.0405	0.0556	0.0553	0.0557
32	0.0811	0.1109	0.1105	0.1113
64	0.1626	0.2217	0.2216	0.2224
128	0.3236	0.4498	0.4500	0.4504
256	0.6427	0.8872	0.8843	0.8859
512	1.2983	1.7820	1.7829	1.7744
1024	2.5956	3.4717	3.4726	3.4238
2048	3.9056	6.6883	6.6972	6.6590
4096	7.7708	12.4614	12.3716	12.3981
8192	10.3498	20.7907	20.8302	20.5677
16384	13.7854	27.7583	27.7494	27.6560
32768	17.7922	32.2364	32.2162	32.1203
65536	19.2280	35.2237	35.2081	35.2208
131072	20.3720	36.8843	36.8439	36.8334
262144	21.0286	37.7487	37.6563	37.5427
524288	21.4481	37.9529	37.8154	37.7352
1048576	21.5941	37.6609	37.5732	37.3109
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0201	0.0278	0.0278	0.0279
16	0.0400	0.0556	0.0555	0.0554
32	0.0804	0.1111	0.1111	0.1111
64	0.1615	0.2216	0.2218	0.2224
128	0.3210	0.4436	0.4432	0.4445
256	0.6430	0.8871	0.8877	0.8882
512	1.2872	1.7795	1.7825	1.7874
1024	2.5855	3.4619	3.4691	3.4702
2048	3.8801	6.6346	6.6560	6.7010
4096	6.2172	10.3905	10.4194	10.4119
8192	10.4167	16.0349	16.0041	16.0867
16384	12.4674	22.8155	22.7793	22.6803
32768	14.7066	27.7513	27.7080	27.6292
65536	16.0666	29.3562	29.2576	29.0782
131072	16.9508	31.1248	30.8980	30.4938
262144	17.3348	31.9969	31.5124	30.6744
524288	17.6304	32.2768	31.2454	29.7964
1048576	17.7485	32.0296	30.5023	27.6160
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0277	0.0278	0.0279
16	0.0406	0.0554	0.0554	0.0557
32	0.0813	0.1110	0.1106	0.1112
64	0.1622	0.2219	0.2208	0.2222
128	0.3234	0.4433	0.4404	0.4443
256	0.6440	0.8867	0.8833	0.8887
512	1.2926	1.7810	1.7795	1.7809
1024	2.5861	3.3500	3.3320	3.3504
2048	3.8883	6.4217	6.4334	6.4568
4096	6.1888	10.4136	10.4165	10.4079
8192	8.8900	15.5886	15.6189	15.5604
16384	11.3360	17.8479	17.8480	17.8302
32768	13.1232	20.8200	20.7889	20.7093
65536	13.8868	22.6702	22.5662	22.4539
131072	14.4689	23.7233	23.5724	23.2499
