 Throughput Test - Thu Jan 26 11:35:01 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Asynchronous Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0094	0.0232	0.0236	0.0232
16	0.0289	0.0464	0.0456	0.0461
32	0.0588	0.0940	0.0924	0.0942
64	0.1173	0.1848	0.1850	0.1863
128	0.2384	0.3795	0.3689	0.3771
256	0.4796	0.7485	0.7509	0.7396
512	0.9248	1.6092	1.5974	1.5936
1024	1.8229	3.1983	3.2101	3.1986
2048	3.6186	6.1677	6.1898	6.1734
4096	6.9269	10.5841	10.5621	10.5855
8192	10.0167	20.4251	20.5063	20.5675
16384	15.9174	30.4252	30.6207	30.5794
32768	22.6118	35.6410	35.6697	35.6852
65536	29.0656	38.6414	38.6750	38.6644
131072	34.6753	40.6286	40.6195	40.5949
262144	37.4050	41.6280	41.6854	41.6637
524288	39.9202	42.2772	42.2586	42.2746
1048576	41.1202	42.5598	42.5545	42.5583
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0150	0.0238	0.0240	0.0239
16	0.0297	0.0477	0.0479	0.0477
32	0.0598	0.0957	0.0955	0.0921
64	0.1179	0.1896	0.1854	0.1878
128	0.2325	0.3641	0.3780	0.3702
256	0.4708	0.7082	0.7508	0.7558
512	0.9580	1.5124	1.5054	1.5112
1024	1.8276	2.9129	2.9544	3.0185
2048	3.5247	5.6507	5.5587	5.5044
4096	6.0793	10.2974	10.3067	10.2942
8192	9.7244	17.7439	17.4658	17.4437
16384	14.6769	28.8155	28.2650	27.8398
32768	19.2215	35.6657	35.6820	35.6738
65536	23.2848	38.7695	38.7854	38.7464
131072	26.0301	40.4981	40.4900	40.4815
262144	27.4501	41.5299	41.5573	41.5842
524288	28.5969	42.1019	42.0939	42.1193
1048576	29.1880	42.1733	42.1998	42.2231
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0147	0.0241	0.0243	0.0241
16	0.0300	0.0480	0.0472	0.0483
32	0.0587	0.0975	0.0981	0.0942
64	0.1191	0.1870	0.1795	0.1907
128	0.2382	0.3614	0.3639	0.3702
256	0.4734	0.7093	0.7417	0.7321
512	0.9563	1.4222	1.3707	1.3643
1024	1.8605	2.6285	2.6057	2.6135
2048	3.4166	5.1963	5.1791	5.1934
4096	6.2169	10.3376	10.3450	10.2963
8192	9.1312	15.5935	15.5881	15.5870
16384	13.2674	24.7354	24.7985	24.7928
32768	16.4900	31.1947	31.2171	31.1982
65536	18.8598	38.3421	38.3065	38.2785
131072	20.7398	40.7709	40.7854	40.7796
262144	21.5435	41.6529	41.6376	41.6523
524288	22.2191	41.9009	41.9221	41.9339
1048576	22.5989	41.7644	41.7832	41.8653
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0149	0.0230	0.0222	0.0228
16	0.0297	0.0454	0.0449	0.0460
32	0.0596	0.0898	0.0910	0.0914
64	0.1195	0.1780	0.1763	0.1853
128	0.2398	0.3564	0.3653	0.3470
256	0.4811	0.6671	0.6555	0.6528
512	0.9620	1.2834	1.2919	1.2793
1024	1.9295	2.5999	2.5956	2.5955
2048	3.1459	5.1882	5.1937	5.1917
4096	6.2275	8.7389	8.1860	8.3267
8192	8.8848	13.7533	13.7787	13.7381
16384	11.8284	19.4649	19.2266	19.2321
32768	13.8444	24.9283	24.9473	24.9397
65536	15.8829	27.6906	27.7695	27.7740
131072	17.1612	30.2226	30.2297	30.2636
262144	17.7526	31.5380	31.5724	31.5688
524288	18.2215	32.1249	32.1231	32.1698
1048576	18.4395	32.0286	32.0976	32.1774
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0150	0.0206	0.0207	0.0206
16	0.0301	0.0423	0.0424	0.0418
32	0.0598	0.0840	0.0837	0.0829
64	0.1211	0.1649	0.1643	0.1638
128	0.2417	0.3317	0.3290	0.3265
256	0.4831	0.6458	0.6461	0.6470
512	0.9670	1.2853	1.2843	1.2868
1024	1.9267	2.5962	2.5974	2.5974
2048	3.1209	4.7832	4.8279	4.8149
4096	5.2270	7.7858	7.7879	7.7867
8192	7.8653	12.4907	12.4679	12.4665
16384	10.6285	16.0069	15.9948	16.0088
32768	12.3532	19.3262	19.2999	19.3718
65536	13.7239	21.7140	21.7284	21.7347
131072	14.6381	23.1829	23.2002	23.2310
262144	15.0874	23.9511	23.9631	23.9888
524288	15.3635	24.2378	24.2684	24.2853
1048576	15.5442	24.1410	24.1957	24.2745
Processing Rate: 50.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0150	0.0204	0.0203	0.0205
16	0.0301	0.0406	0.0407	0.0409
32	0.0602	0.0817	0.0815	0.0820
64	0.1207	0.1623	0.1623	0.1622
128	0.2421	0.3245	0.3244	0.3247
256	0.4829	0.6486	0.6445	0.6469
512	0.9715	1.2951	1.2972	1.2943
1024	1.9225	2.5980	2.5920	2.5926
2048	3.1212	4.4239	4.4164	4.4255
4096	5.1989	7.5400	7.3782	7.4179
8192	7.7324	10.4125	10.3993	10.3981
16384	9.5071	13.8707	13.8754	13.8645
32768	10.8768	16.6521	16.6337	16.6226
65536	12.0734	17.8218	17.8423	17.8520
131072	12.7389	18.7906	18.8153	18.8459
262144	13.0825	19.3032	19.3071	19.3365
524288	13.3156	19.4609	19.4617	19.4939
1048576	13.4254	19.3586	19.4170	19.4895
Processing Rate: 75.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0153	0.0203	0.0203	0.0203
16	0.0301	0.0405	0.0405	0.0405
32	0.0595	0.0811	0.0810	0.0811
64	0.1202	0.1619	0.1621	0.1615
128	0.2380	0.3240	0.3240	0.3239
256	0.4757	0.6487	0.6489	0.6486
512	0.9702	1.2975	1.2972	1.2966
1024	1.6198	2.3509	2.3380	2.3577
2048	3.1188	3.9003	3.8985	3.8967
4096	4.4742	6.2380	6.2369	6.2430
8192	6.2441	8.5182	8.5048	8.4997
16384	7.6628	10.4097	10.4064	10.4071
32768	8.5953	11.6046	11.6002	11.5977
65536	9.2737	12.4611	12.4632	12.4584
131072	9.6617	12.7845	12.7864	12.8065
262144	9.8465	12.9960	13.0005	13.0219
524288	9.9857	13.0374	13.0439	13.0796
1048576	10.0429	12.9460	12.9928	13.0562
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0147	0.0203	0.0203	0.0203
16	0.0287	0.0406	0.0405	0.0406
32	0.0596	0.0812	0.0812	0.0812
64	0.1195	0.1622	0.1619	0.1622
128	0.2387	0.3244	0.3242	0.3241
256	0.4633	0.6484	0.6491	0.6505
512	0.9701	1.2927	1.2885	1.2864
1024	1.5720	2.2097	2.1659	2.2066
2048	2.6147	3.8750	3.8452	3.8731
4096	4.4249	5.1991	5.2003	5.2022
8192	5.3459	6.9315	6.9377	6.9380
16384	6.4644	8.3153	8.3113	8.3125
32768	7.1009	8.9135	8.9240	8.9231
65536	7.5437	9.4175	9.4273	9.4267
131072	7.7795	9.6774	9.6869	9.6982
262144	7.9125	9.7886	9.8039	9.8145
524288	7.9842	9.8056	9.8210	9.8448
1048576	8.0255	9.7386	9.7716	9.8235
