 Throughput Test - Thu Jan 26 11:57:13 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Asynchronous Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0185	0.0186	0.0184
16	0.0304	0.0370	0.0373	0.0372
32	0.0609	0.0736	0.0739	0.0739
64	0.1218	0.1483	0.1465	0.1430
128	0.2435	0.2952	0.2939	0.2980
256	0.4871	0.5829	0.5754	0.5945
512	0.9739	1.1033	1.1758	1.1754
1024	1.9489	2.2047	2.1791	2.2531
2048	3.8937	4.3463	4.4582	4.4652
4096	7.4345	9.4296	9.7580	9.6402
8192	11.5186	16.9699	17.2287	16.8817
16384	16.6765	30.4091	30.1912	30.1008
32768	21.1856	35.4898	35.6376	35.5968
65536	25.9768	38.4309	38.4382	38.2884
131072	33.1805	40.1951	40.1413	39.9443
262144	36.8500	41.0610	40.8998	40.3956
524288	38.9435	41.4417	41.0119	40.1340
1048576	40.1231	41.2301	40.3500	38.8479
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0170	0.0171	0.0168
16	0.0304	0.0338	0.0341	0.0339
32	0.0609	0.0687	0.0680	0.0671
64	0.1216	0.1355	0.1343	0.1346
128	0.2433	0.2716	0.2686	0.2697
256	0.4867	0.5211	0.5440	0.5400
512	0.9734	1.0535	1.0297	1.0495
1024	1.9466	2.1398	2.1476	2.1369
2048	3.8813	4.0803	3.9905	4.0506
4096	6.8329	7.8028	7.8100	7.8253
8192	10.3662	15.5986	15.5588	15.6274
16384	14.8393	24.9550	24.9758	24.9530
32768	19.2139	35.6438	35.6403	35.5811
65536	22.5058	38.6697	38.5961	38.5392
131072	25.6903	40.2390	40.0672	39.8678
262144	27.3267	41.1793	41.0222	40.5158
524288	28.2144	41.2830	40.8722	40.0789
1048576	28.7533	40.6995	39.9842	38.8828
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0161	0.0167	0.0167
16	0.0304	0.0322	0.0324	0.0329
32	0.0608	0.0656	0.0664	0.0637
64	0.1216	0.1341	0.1317	0.1318
128	0.2413	0.2706	0.2688	0.2688
256	0.4866	0.5181	0.5340	0.5372
512	0.9721	1.0645	1.0473	1.0815
1024	1.9414	1.9642	1.9660	1.9853
2048	3.8534	3.8985	3.9057	3.9120
4096	6.2308	7.6365	7.7614	7.7959
8192	10.2900	12.5145	12.5177	12.5326
16384	12.6378	20.8142	20.8236	20.8180
32768	16.4638	29.6075	29.4275	29.7031
65536	18.3715	36.0301	35.9209	35.8617
131072	20.4835	40.2971	40.4639	40.2829
262144	21.3720	41.2665	41.0788	40.7443
524288	21.9605	41.0793	40.7532	40.3664
1048576	22.2758	40.1634	39.5730	38.7683
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0166	0.0168	0.0168
16	0.0304	0.0336	0.0334	0.0328
32	0.0607	0.0672	0.0658	0.0661
64	0.1214	0.1324	0.1340	0.1287
128	0.2433	0.2569	0.2534	0.2598
256	0.4858	0.5061	0.5032	0.5124
512	0.9695	0.9818	0.9847	0.9922
1024	1.9344	1.9525	1.9581	1.9556
2048	3.8618	3.9028	3.9006	3.9055
4096	6.1944	6.9605	7.0020	6.9891
8192	8.8964	12.4300	12.3982	12.3891
16384	11.3593	17.8176	17.8330	17.8261
32768	13.8386	22.6763	22.7020	22.7078
65536	15.5174	26.9291	26.8488	26.9572
131072	16.9819	29.4589	29.4890	29.5732
262144	17.5959	30.8096	30.8482	30.9504
524288	17.9947	31.3148	31.4080	31.4279
1048576	18.1856	30.7746	30.9100	31.2253
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0164	0.0164	0.0163
16	0.0304	0.0332	0.0326	0.0330
32	0.0608	0.0670	0.0649	0.0657
64	0.1200	0.1304	0.1268	0.1291
128	0.2432	0.2672	0.2636	0.2608
256	0.4861	0.5109	0.5319	0.4991
512	0.9668	0.9818	0.9787	0.9824
1024	1.9329	1.9517	1.9507	1.9559
2048	3.8256	3.9007	3.8983	3.9106
4096	5.2238	6.6113	6.6001	6.6374
8192	7.7347	10.4113	10.4177	10.4296
16384	10.3920	14.8942	14.9023	14.8770
32768	12.3028	18.5269	18.6047	18.5263
65536	13.3803	21.1705	21.2075	21.2134
131072	14.5222	22.6943	22.7700	22.7772
262144	14.9467	23.4642	23.5051	23.5674
524288	15.2276	23.6610	23.7200	23.8563
1048576	15.3466	23.2170	23.3803	23.5966
Processing Rate: 50.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0166	0.0162	0.0155
16	0.0304	0.0320	0.0324	0.0319
32	0.0608	0.0624	0.0630	0.0651
64	0.1215	0.1296	0.1228	0.1234
128	0.2430	0.2446	0.2452	0.2460
256	0.4859	0.4901	0.4887	0.4920
512	0.9709	0.9754	0.9771	0.9782
1024	1.9256	1.9488	1.9545	1.9550
2048	3.4746	3.8709	3.8813	3.8908
4096	5.1905	6.2427	6.2492	6.2488
8192	7.7881	9.5367	9.5635	9.5902
16384	9.3463	12.6211	12.5878	12.5713
32768	10.8508	15.5897	15.6149	15.6166
65536	11.8319	17.4466	17.4830	17.4411
131072	12.6667	18.4745	18.4671	18.5289
262144	13.0019	18.9297	18.9924	19.0490
524288	13.1992	19.0495	19.0461	19.1727
1048576	13.2892	18.6501	18.7559	18.9652
Processing Rate: 75.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0166	0.0155	0.0155
16	0.0304	0.0317	0.0311	0.0324
32	0.0608	0.0622	0.0614	0.0653
64	0.1216	0.1239	0.1248	0.1236
128	0.2432	0.2457	0.2456	0.2454
256	0.4861	0.4882	0.4886	0.4892
512	0.9701	0.9757	0.9761	0.9775
1024	1.9366	1.9489	1.9528	1.9517
2048	3.1113	3.2838	3.3109	3.3147
4096	4.4525	5.2053	5.2110	5.2169
8192	6.2340	7.7981	7.8139	7.8157
16384	7.5421	9.6108	9.6151	9.6171
32768	8.6002	11.3196	11.2653	11.3464
65536	9.0794	12.1525	12.1536	12.1825
131072	9.6135	12.5897	12.6109	12.6637
262144	9.7808	12.7981	12.8144	12.8733
524288	9.9016	12.7697	12.8025	12.8856
1048576	9.9510	12.5107	12.6208	12.7618
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0154	0.0155	0.0154
16	0.0304	0.0307	0.0310	0.0310
32	0.0607	0.0615	0.0618	0.0617
64	0.1214	0.1224	0.1227	0.1231
128	0.2429	0.2443	0.2441	0.2447
256	0.4841	0.4880	0.4881	0.4892
512	0.9661	0.9758	0.9760	0.9781
1024	1.7134	1.9231	1.9077	1.9262
2048	3.0918	3.1229	3.1188	3.1275
4096	3.9160	4.6766	4.6604	4.6809
8192	5.6498	6.2543	6.2549	6.2432
16384	6.4896	7.8035	7.8150	7.8074
32768	7.0788	8.7368	8.7601	8.7601
65536	7.4346	9.2854	9.3059	9.3055
131072	7.7661	9.5413	9.5716	9.5969
262144	7.8572	9.6590	9.6885	9.7189
524288	7.9302	9.6201	9.6448	9.7147
1048576	7.9564	9.4060	9.5259	9.6364
