 Throughput Test - Thu Jan 26 11:19:40 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Asynchronous Read.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0151	0.0152	0.0153	0.0152
16	0.0304	0.0305	0.0306	0.0305
32	0.0608	0.0610	0.0611	0.0610
64	0.1207	0.1219	0.1220	0.1222
128	0.2425	0.2417	0.2430	0.2454
256	0.4863	0.4879	0.4825	0.4863
512	0.9736	0.9733	0.9766	0.9759
1024	1.9514	1.9497	1.9442	1.9515
2048	3.8743	3.8418	3.8266	3.8255
4096	7.7493	6.4903	6.2371	6.3421
8192	10.3383	10.5851	10.5383	10.4745
16384	15.5989	15.6610	15.7582	15.9906
32768	21.0662	22.2410	22.4825	22.4224
65536	26.3202	27.1834	27.2115	27.1486
131072	29.2871	30.3916	30.4097	30.5499
262144	33.2220	32.3785	32.5931	32.6001
524288	33.5562	33.6592	33.8315	33.6912
1048576	34.2030	34.2879	34.3563	36.6888
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0163	0.0153	0.0143	0.0152
16	0.0304	0.0305	0.0306	0.0311
32	0.0609	0.0612	0.0611	0.0611
64	0.1219	0.1222	0.1223	0.1221
128	0.2436	0.2447	0.2439	0.2445
256	0.4847	0.4893	0.4859	0.4876
512	0.9616	0.9799	0.9778	0.9794
1024	1.9418	1.9642	1.9605	1.9605
2048	3.8951	3.9063	3.9048	3.9021
4096	6.2477	7.8095	7.8037	7.8076
8192	10.4110	12.4964	12.4962	12.4962
16384	15.5820	17.8479	17.8549	17.8569
32768	19.2340	23.8635	23.7867	23.3088
65536	22.3960	28.6508	28.4057	28.4452
131072	24.3181	32.0589	32.0757	32.0281
262144	25.3909	34.5470	34.1262	33.7303
524288	25.4655	35.1092	35.0508	35.0850
1048576	25.5408	34.4516	34.9852	34.5461
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0153	0.0152	0.0153
16	0.0305	0.0306	0.0305	0.0305
32	0.0610	0.0611	0.0608	0.0610
64	0.1212	0.1223	0.1221	0.1222
128	0.2429	0.2447	0.2439	0.2448
256	0.4852	0.4886	0.4879	0.4877
512	0.9751	0.9759	0.9758	0.9825
1024	1.9013	1.9612	1.9583	1.9622
2048	3.8931	3.9062	3.9062	3.9043
4096	6.2465	7.8102	7.7609	7.7974
8192	9.1025	12.4984	12.4872	12.4938
16384	12.8679	17.8498	17.8521	17.8477
32768	15.0479	24.9415	24.8513	24.7380
65536	18.4521	29.6846	29.4056	29.4485
131072	19.9804	33.2014	33.2067	33.0669
262144	20.5877	35.3411	34.8867	34.8142
524288	20.6440	34.6780	34.8166	34.7833
1048576	20.6968	34.9088	34.9225	35.0619
