 Throughput Test - Thu Jan 26 11:42:24 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Asynchronous Write.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0153	0.0148	0.0153	0.0155
16	0.0305	0.0308	0.0306	0.0299
32	0.0608	0.0621	0.0611	0.0612
64	0.1221	0.1215	0.1222	0.1220
128	0.2436	0.2447	0.2445	0.2463
256	0.4868	0.4894	0.4886	0.4880
512	0.9717	0.9775	0.9852	0.9892
1024	1.9243	1.9594	1.9498	1.9560
2048	3.8957	3.8251	3.8816	3.8768
4096	6.4365	6.6047	6.5794	6.4093
8192	10.6441	11.3421	11.0144	11.2532
16384	17.4319	17.7221	17.6535	17.8987
32768	23.7081	23.9371	23.9845	24.3808
65536	29.1268	29.3959	29.2308	29.1654
131072	30.4824	31.2678	30.9708	30.8261
262144	32.9862	31.9359	33.2989	32.4649
524288	34.6934	34.4035	33.6267	32.1652
1048576	34.9189	34.0452	33.2760	30.4610
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0151	0.0153	0.0152	0.0153
16	0.0304	0.0306	0.0306	0.0305
32	0.0611	0.0618	0.0610	0.0615
64	0.1199	0.1231	0.1222	0.1241
128	0.2371	0.2423	0.2448	0.2440
256	0.4729	0.4762	0.4864	0.4927
512	0.9398	0.9895	0.9837	1.0008
1024	1.9322	1.9263	1.9695	1.9761
2048	3.8966	3.9082	3.8995	3.9127
4096	6.1914	7.7998	7.8145	7.8067
8192	10.3426	12.4760	12.4995	12.5030
16384	15.5935	18.2940	18.1064	18.1499
32768	19.2033	23.7669	24.2180	23.9312
65536	22.3845	28.6504	28.2853	28.8957
131072	24.2066	31.8866	31.7209	32.1101
262144	25.1656	34.1673	34.1461	33.2244
524288	25.6581	35.3146	34.7507	32.7102
1048576	25.6065	34.4025	33.6155	31.5907
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0155	0.0153	0.0153	0.0152
16	0.0305	0.0305	0.0307	0.0312
32	0.0593	0.0623	0.0588	0.0612
64	0.1210	0.1212	0.1225	0.1222
128	0.2436	0.2445	0.2485	0.2456
256	0.4809	0.4885	0.4918	0.4925
512	0.9691	0.9676	0.9803	0.9852
1024	1.8884	1.9670	1.9690	1.9969
2048	3.8965	3.8741	3.9091	3.9101
4096	6.2462	7.8141	7.7984	7.8200
8192	10.2671	12.4811	12.5000	12.5062
16384	13.8797	18.2802	18.2797	18.3312
32768	16.6108	24.9295	25.4023	25.4094
65536	18.4364	29.6510	29.3639	30.1662
131072	19.8036	33.0069	33.0253	33.5329
262144	20.5451	34.8850	35.3890	35.0688
524288	20.9317	35.1838	35.5381	35.2198
1048576	20.9990	34.6816	35.3662	35.0315
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0154	0.0153	0.0152
16	0.0304	0.0302	0.0304	0.0307
32	0.0604	0.0616	0.0610	0.0612
64	0.1206	0.1223	0.1220	0.1214
128	0.2431	0.2410	0.2441	0.2438
256	0.4812	0.4893	0.4804	0.4896
512	0.9735	0.9751	0.9845	0.9854
1024	1.9514	1.9609	1.9541	1.9911
2048	3.8602	3.9080	3.9085	3.9105
4096	6.2314	7.7942	7.8050	7.8197
8192	8.8889	12.4960	12.4976	12.5124
16384	11.6424	18.1353	18.6375	18.5325
32768	14.2977	24.9679	25.2199	25.2593
