 Throughput Test - Thu Jan 26 11:46:01 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Streaming Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0203	0.0278	0.0277	0.0279
16	0.0404	0.0563	0.0561	0.0563
32	0.0808	0.1124	0.1124	0.1124
64	0.1626	0.2251	0.2244	0.2243
128	0.3238	0.4507	0.4508	0.4480
256	0.6473	0.8996	0.8972	0.8976
512	1.2926	1.7758	1.7751	1.7753
1024	2.5962	3.4487	3.4517	3.4443
2048	5.1788	6.8896	6.9013	6.8816
4096	7.8052	13.0631	13.0743	12.9531
8192	15.5325	20.8402	20.8557	20.8688
16384	20.7829	27.6741	27.7193	27.7558
32768	27.7764	32.3168	32.3308	32.3925
65536	31.2132	35.5967	35.6280	35.7035
131072	34.5495	37.0443	37.0671	37.1254
262144	36.2342	38.1071	38.1211	38.1795
524288	37.7753	38.5720	38.6058	38.6734
1048576	38.4690	38.8132	38.8634	38.9689
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0201	0.0281	0.0280	0.0281
16	0.0402	0.0562	0.0563	0.0563
32	0.0806	0.1124	0.1125	0.1127
64	0.1617	0.2248	0.2252	0.2253
128	0.3250	0.4479	0.4488	0.4512
256	0.6438	0.8938	0.9004	0.9010
512	1.2914	1.7714	1.7841	1.7870
1024	2.6034	3.4565	3.4691	3.4702
2048	5.1754	6.8659	6.9001	6.9254
4096	7.7630	13.1112	13.2338	13.2887
8192	12.4969	21.3799	21.3176	21.1393
16384	17.8178	27.4494	27.6057	27.5629
32768	20.7347	32.5806	32.5509	32.6226
65536	23.7815	35.3654	35.3668	35.4128
131072	25.9208	36.9987	37.0214	37.0802
262144	26.9987	37.9106	37.9263	37.9846
524288	27.4054	38.3523	38.3864	38.4628
1048576	27.7042	38.4404	38.5161	38.6247
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0281	0.0280	0.0282
16	0.0405	0.0562	0.0558	0.0563
32	0.0810	0.1123	0.1120	0.1126
64	0.1619	0.2247	0.2243	0.2254
128	0.3251	0.4506	0.4455	0.4513
256	0.6473	0.8957	0.8963	0.9006
512	1.3004	1.7755	1.7741	1.7770
1024	2.5994	3.4535	3.4555	3.4412
2048	4.0031	6.6317	6.7011	6.6635
4096	7.8134	12.4719	12.4016	12.3743
8192	10.3416	20.8264	20.8270	20.7437
16384	14.0834	27.7269	27.5422	27.1358
32768	17.8585	32.4376	32.4122	32.3825
65536	19.2346	35.6013	35.6504	35.6553
131072	20.4224	36.9618	36.9940	37.0622
262144	21.0592	37.8127	37.8393	37.8945
524288	21.5097	38.1619	38.2008	38.2816
1048576	21.7432	38.0706	38.1493	38.2912
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0278	0.0278	0.0278
16	0.0401	0.0560	0.0563	0.0562
32	0.0812	0.1124	0.1125	0.1126
64	0.1625	0.2247	0.2250	0.2254
128	0.3249	0.4502	0.4496	0.4510
256	0.6450	0.8974	0.9015	0.9002
512	1.2877	1.7802	1.7790	1.7826
1024	2.5890	3.4637	3.4711	3.4774
2048	3.8863	6.5866	6.5836	6.5973
4096	6.9025	10.3551	10.4269	10.4220
8192	10.3603	16.5240	16.4853	16.4662
16384	12.4717	22.9426	22.9033	22.8915
32768	14.7079	27.7644	27.7627	27.7556
65536	16.0538	29.3811	29.4104	29.4680
131072	16.9840	31.1673	31.2026	31.2674
262144	17.3754	32.0750	32.1086	32.1656
524288	17.7025	32.4051	32.4272	32.4683
1048576	17.8562	32.3090	32.3485	32.4449
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0280	0.0282	0.0282
16	0.0406	0.0560	0.0561	0.0563
32	0.0809	0.1114	0.1122	0.1125
64	0.1613	0.2241	0.2250	0.2256
128	0.3252	0.4481	0.4507	0.4513
256	0.6473	0.8976	0.9001	0.9011
512	1.2982	1.7726	1.7716	1.7797
1024	2.5880	3.3475	3.3331	3.3552
2048	3.9067	6.4577	6.4296	6.4760
4096	6.2511	10.4198	10.4227	10.4279
8192	8.8818	15.6252	15.6360	15.6476
16384	11.2992	17.8586	17.8496	17.8873
32768	13.1606	20.7959	20.8504	20.8709
65536	13.8554	22.7035	22.6026	22.7399
131072	14.4955	23.7466	23.7704	23.7826
262144	14.8195	24.2518	24.2748	24.3360
524288	15.0461	24.4072	24.4427	24.5125
