 Throughput Test - Thu Jan 26 12:08:01 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Streaming Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0610	0.1221	0.2441	0.4878
16	0.1218	0.2441	0.4882	0.9764
32	0.2432	0.4883	0.9763	1.9523
64	0.4882	0.9763	1.9531	3.9062
128	0.9714	1.9531	3.9062	7.8124
256	1.9526	3.9059	7.8113	15.6247
512	3.9032	7.8118	15.6233	31.1906
1024	7.8045	15.6227	29.2497	34.3431
2048	15.5991	28.5494	34.2621	33.8306
4096	30.2296	34.2055	34.4434	34.3333
8192	31.1791	34.4594	34.5787	34.3692
16384	31.2219	34.5586	34.5884	33.7461
32768	31.2494	34.5812	33.8189	34.2114
65536	33.2946	33.7858	34.2450	34.4689
131072	33.1157	34.2335	34.5048	34.5303
262144	33.8133	34.4611	34.5976	34.6346
524288	34.2175	34.5549	34.6462	34.6810
1048576	34.4033	34.6220	34.6844	34.7094
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0610	0.1221	0.2441	0.4882
16	0.1219	0.2441	0.4870	0.9765
32	0.2441	0.4882	0.9764	1.9531
64	0.4883	0.9764	1.9531	3.9060
128	0.9765	1.9529	3.9059	7.8122
256	1.9531	3.9056	7.8120	15.6239
512	3.9062	7.8118	15.6232	29.4895
1024	7.8063	15.6225	27.3296	34.3109
2048	15.6068	23.4354	34.2676	33.8725
4096	15.6241	31.2403	34.4613	34.3002
8192	20.8312	34.4368	34.5648	34.3437
16384	24.3331	34.5460	34.5744	33.7716
32768	24.5792	34.6098	33.8355	34.1747
65536	24.9057	33.8267	34.2774	34.4187
131072	24.9462	34.2131	34.4405	34.5611
262144	25.2844	34.4058	34.5217	34.5692
524288	25.4749	34.4128	34.4622	34.5176
1048576	25.5850	34.3048	34.3586	34.4227
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0608	0.1221	0.2441	0.4882
16	0.1221	0.2441	0.4883	0.9765
32	0.2441	0.4881	0.9765	1.9530
64	0.4865	0.9764	1.9528	3.9051
128	0.9765	1.9530	3.9053	7.8120
256	1.9531	3.9059	7.8111	15.6203
512	3.8919	7.8121	15.6232	29.1455
1024	7.8121	15.6206	27.3328	34.3161
2048	15.6083	23.4205	34.2740	33.8931
4096	15.6235	31.2430	34.4288	34.3289
8192	15.6241	31.2408	34.5619	34.3489
16384	17.7708	34.5450	34.5648	33.7471
32768	19.2303	34.6302	33.7833	34.2090
65536	19.9796	33.8267	34.2382	34.3824
131072	19.9599	34.1749	34.4024	34.4643
262144	20.1719	34.3122	34.4079	34.4915
524288	20.2972	34.2179	34.2882	34.3505
1048576	20.3686	33.9689	34.0091	34.1146
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0610	0.1221	0.2441	0.4882
16	0.1215	0.2441	0.4868	0.9765
32	0.2432	0.4881	0.9765	1.9529
64	0.4883	0.9764	1.9472	3.9061
128	0.9765	1.9530	3.9058	7.7791
256	1.9462	3.9054	7.8113	15.6207
512	3.9056	7.8107	15.6195	25.4781
1024	7.8121	15.6145	23.4348	30.6556
2048	11.6612	17.9485	31.2439	31.2395
4096	15.5603	31.2146	32.5180	32.5349
8192	15.6229	31.2382	32.8817	32.8772
16384	15.6232	31.2270	32.9804	33.0724
32768	16.5530	32.3228	33.1453	33.1461
65536	16.6578	32.2134	33.1662	33.1688
131072	16.6229	33.0033	33.1328	33.1433
262144	16.7815	33.0238	33.0296	33.0407
524288	16.8755	32.7921	32.8101	32.8453
1048576	16.9293	32.3739	32.4235	32.5176
Processing Rate: 40.0000 MS/MB
