 Throughput Test - Thu Jan 26 11:44:51 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Streaming Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0164	0.0205	0.0204	0.0207
16	0.0334	0.0409	0.0409	0.0412
32	0.0730	0.0832	0.0826	0.0818
64	0.1409	0.1649	0.1639	0.1633
128	0.2699	0.3268	0.3274	0.3285
256	0.4937	0.6548	0.6574	0.6563
512	0.9893	1.3061	1.3105	1.3084
1024	2.0665	2.7166	2.6948	2.7439
2048	3.8953	5.7136	5.6712	5.7685
4096	7.7862	10.5410	10.5044	10.5653
8192	12.4643	19.5933	19.0300	19.2614
16384	20.5367	30.1031	30.3644	30.4382
32768	27.4339	35.6986	35.7325	35.7900
65536	33.1931	39.0335	39.0781	39.1163
131072	37.0258	40.8559	40.8978	40.9718
262144	39.6100	41.8958	41.9213	42.0235
524288	41.2066	42.4434	42.4785	42.5612
1048576	41.8603	42.7345	42.7905	42.8757
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0159	0.0204	0.0203	0.0204
16	0.0319	0.0408	0.0407	0.0408
32	0.0637	0.0814	0.0816	0.0816
64	0.1292	0.1629	0.1632	0.1634
128	0.2570	0.3257	0.3257	0.3259
256	0.5046	0.6517	0.6501	0.6526
512	1.0019	1.2999	1.3011	1.3035
1024	1.9528	2.5981	2.6020	2.6016
2048	3.8940	5.2017	5.1891	5.2066
4096	7.5501	10.3027	10.3531	10.3163
8192	12.0009	17.5354	17.5440	17.6112
16384	17.6608	29.4547	29.5341	29.9730
32768	20.8237	35.6783	35.7282	35.7506
65536	24.8080	39.0100	39.0656	39.1466
131072	27.0237	40.8658	40.9303	40.9770
262144	28.5356	41.8226	41.8696	41.9533
524288	29.1562	42.2489	42.3043	42.3986
1048576	29.4280	42.3203	42.4059	42.5593
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0160	0.0203	0.0203	0.0204
16	0.0343	0.0406	0.0407	0.0407
32	0.0652	0.0814	0.0814	0.0816
64	0.1327	0.1626	0.1626	0.1627
128	0.2912	0.3248	0.3244	0.3254
256	0.5237	0.6503	0.6499	0.6507
512	1.0926	1.2944	1.3014	1.3021
1024	1.9486	2.5953	2.5963	2.6019
2048	3.8912	5.1519	5.1535	5.1655
4096	6.2476	9.0282	8.9805	9.0087
8192	10.3875	15.5662	15.5199	15.5760
16384	13.8687	23.6516	23.7136	23.7645
32768	16.9990	31.2141	31.2288	31.2668
65536	19.8618	37.7837	37.8753	38.0027
131072	21.2465	40.8032	40.8588	40.9393
262144	22.2015	41.7255	41.7755	41.8505
524288	22.5852	42.0506	42.1069	42.2353
1048576	22.7276	41.9135	42.0314	42.2452
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0188	0.0203	0.0203	0.0204
16	0.0377	0.0407	0.0407	0.0406
32	0.0746	0.0812	0.0812	0.0814
64	0.1506	0.1625	0.1625	0.1628
128	0.3069	0.3253	0.3254	0.3257
256	0.6083	0.6493	0.6493	0.6505
512	1.1885	1.2964	1.2947	1.2947
1024	1.9455	2.5728	2.5863	2.5909
2048	3.8585	4.9124	4.9099	4.9310
4096	6.1865	7.8037	7.7262	7.8175
8192	9.0277	12.5054	12.4920	12.5290
16384	12.4728	19.1761	19.1961	19.2200
32768	14.5674	24.8838	24.8913	24.8591
65536	16.6389	27.7435	27.8028	27.8132
131072	17.5417	30.2343	30.2733	30.3322
262144	18.1672	31.5757	31.6048	31.7089
524288	18.4124	32.0655	32.1228	32.1938
1048576	18.5370	32.1339	32.2233	32.4218
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0186	0.0203	0.0203	0.0204
16	0.0345	0.0406	0.0406	0.0407
32	0.0662	0.0812	0.0811	0.0815
64	0.1437	0.1624	0.1624	0.1626
128	0.2946	0.3244	0.3244	0.3249
256	0.4870	0.6487	0.6484	0.6505
512	0.9661	1.2976	1.2973	1.2986
1024	1.9451	2.5529	2.4656	2.5144
2048	3.8496	4.1790	4.3062	4.3395
4096	6.1898	7.7800	7.7978	7.8039
8192	8.8076	12.1087	12.2794	12.2768
16384	11.2132	15.6213	15.6431	15.6411
32768	13.1295	19.2316	19.2502	19.2651
65536	14.2781	21.7205	21.6933	21.7796
131072	14.9201	23.2003	23.2298	23.2816
262144	15.3453	23.9700	24.0255	24.0736
524288	15.5598	24.2102	24.2699	24.3440
1048576	15.6256	24.2137	24.2846	24.4228
Processing Rate: 50.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0153	0.0203	0.0203	0.0203
16	0.0305	0.0406	0.0406	0.0407
32	0.0610	0.0811	0.0811	0.0812
64	0.1221	0.1623	0.1622	0.1625
128	0.2446	0.3244	0.3247	0.3252
256	0.4879	0.6500	0.6511	0.6495
512	0.9742	1.2949	1.2948	1.2946
1024	1.9483	2.4553	2.4863	2.5051
2048	3.2467	3.9076	3.9083	3.9142
4096	5.3805	6.9605	7.0003	6.9609
8192	7.7876	10.4115	10.4149	10.4348
16384	9.6226	13.8794	13.8981	13.8691
32768	11.3576	16.3311	16.3878	16.4362
65536	12.4944	17.8184	17.8658	17.8852
131072	12.9821	18.8219	18.8467	18.8847
262144	13.3204	19.3054	19.3569	19.3868
524288	13.4631	19.4541	19.4850	19.5778
1048576	13.5163	19.4160	19.4678	19.6015
