 Throughput Test - Thu Jan 26 12:07:08 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Streaming Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0597	0.0604	0.0602	0.0609
16	0.1195	0.1219	0.1211	0.1219
32	0.2379	0.2434	0.2416	0.2438
64	0.4777	0.4869	0.4829	0.4766
128	0.9555	0.9739	0.9594	0.9740
256	1.9075	1.9477	1.9227	1.9463
512	3.8215	3.8777	3.8348	3.8897
1024	7.5194	7.7886	7.7235	7.7953
2048	7.7125	15.5683	15.4428	15.5643
4096	15.4309	30.8094	30.8576	31.1281
8192	19.9550	34.5481	34.6049	34.6432
16384	24.8868	33.6288	34.6620	34.6684
32768	29.2231	34.6680	34.6633	34.5031
65536	31.5333	34.3094	34.4196	34.4010
131072	32.7430	34.5030	34.3618	34.4071
262144	33.4974	34.5599	34.3915	34.1805
524288	33.9194	34.3895	34.2626	33.7451
1048576	34.1730	34.4365	34.0426	33.1164
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0571	0.0607	0.0583	0.0608
16	0.1123	0.1216	0.1205	0.1217
32	0.2247	0.2432	0.2392	0.2426
64	0.4447	0.4846	0.4764	0.4861
128	0.9028	0.9481	0.9540	0.9717
256	1.7250	1.8754	1.8027	1.8679
512	3.1946	3.6426	3.5360	3.5576
1024	4.7266	6.6264	6.7156	6.6228
2048	7.5024	11.6594	11.8051	11.6350
4096	10.9667	22.4562	22.6612	22.5479
8192	16.6045	31.1222	34.3866	34.2392
16384	20.2596	34.1856	34.5537	34.5651
32768	22.5144	34.4609	34.5462	34.5135
65536	24.2108	34.5217	34.5052	34.4632
131072	24.7450	34.6069	34.5364	34.4178
262144	25.1328	34.5124	34.4740	34.3285
524288	25.3530	34.4151	34.3107	33.9987
1048576	25.3790	34.0461	33.8018	33.4473
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0525	0.0600	0.0598	0.0600
16	0.1073	0.1172	0.1172	0.1195
32	0.2396	0.2320	0.2389	0.2382
64	0.4596	0.4716	0.4742	0.4683
128	0.7941	0.9104	0.9226	0.8827
256	1.3105	1.7614	1.7632	1.7156
512	2.1845	3.1684	3.2271	3.2539
1024	4.0242	5.7999	5.6732	5.7964
2048	7.7768	10.3258	10.3783	10.2940
4096	11.1218	15.6101	15.6200	15.6143
8192	14.2717	25.6084	25.6233	25.7251
16384	17.0211	31.3886	34.6284	34.5256
32768	17.9729	34.1891	34.6572	34.6643
65536	19.4652	34.6548	34.6566	34.6390
131072	19.7403	34.5762	34.5821	34.5706
262144	20.1284	34.3416	34.3692	34.2619
524288	20.1992	34.2327	34.1519	34.0647
1048576	20.2630	33.8667	33.8845	33.7295
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0490	0.0559	0.0565	0.0567
16	0.0983	0.1120	0.1147	0.1129
32	0.2134	0.2277	0.2284	0.2242
64	0.3308	0.4522	0.4569	0.4398
128	0.6138	0.8664	0.8676	0.8467
256	1.0129	1.5256	1.5657	1.5695
512	2.0224	2.8586	2.8830	2.9514
1024	4.3459	5.1700	5.2001	5.1688
2048	7.2145	8.3553	8.2559	7.9655
4096	9.9056	15.5900	15.3328	15.5899
8192	12.5137	20.7681	20.7645	20.7958
16384	14.3120	24.9570	24.8537	24.9834
32768	15.2913	28.2203	28.1848	28.3348
65536	16.2083	30.7459	30.7435	30.7519
131072	16.5171	31.7967	31.8347	31.7939
262144	16.6928	32.2823	32.1911	32.2219
524288	16.7581	32.1529	32.2865	32.3950
1048576	16.7718	31.9894	32.1043	32.2596
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0424	0.0531	0.0516	0.0533
16	0.0829	0.1052	0.1050	0.1086
32	0.1512	0.2143	0.2128	0.2180
64	0.3024	0.4215	0.4167	0.4239
128	0.5407	0.8202	0.8146	0.8196
256	0.9883	1.4878	1.4925	1.5126
512	2.1095	2.6670	2.6032	2.6598
1024	4.2167	5.1853	5.1407	5.1754
2048	6.5382	7.8109	7.8012	7.8088
4096	8.8233	13.3705	13.3297	13.3506
8192	11.0652	17.6673	17.5356	17.6002
16384	12.5048	20.6267	20.6081	20.6357
32768	13.4284	22.5094	22.3850	22.4227
65536	14.0277	23.5869	23.6067	23.5901
131072	14.2171	24.1371	24.1671	24.1409
262144	14.3099	24.3494	24.3922	24.3988
524288	14.3221	24.3664	24.4121	24.4434
1048576	14.3118	24.1457	24.2266	24.3684
Processing Rate: 50.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0407	0.0536	0.0532	0.0527
16	0.0769	0.1053	0.1061	0.1012
32	0.1322	0.2064	0.2083	0.2073
64	0.2569	0.3992	0.4108	0.4007
128	0.5084	0.7680	0.7513	0.7382
256	1.0752	1.4502	1.4567	1.4494
512	2.1787	2.5802	2.6010	2.5610
1024	3.9899	4.5351	4.7197	4.5694
2048	6.3015	7.7905	7.8023	7.8116
4096	8.0626	11.5430	11.9075	11.9415
8192	9.6109	14.9348	14.9374	14.9281
16384	11.2210	16.8300	16.9713	17.0573
32768	11.8134	18.3350	18.3324	18.3614
65536	12.1375	19.0940	19.0605	19.0907
131072	12.3594	19.4334	19.4265	19.4540
262144	12.4356	19.5785	19.5685	19.5918
524288	12.5774	19.5424	19.5638	19.6201
1048576	12.5331	19.3593	19.4287	19.5482
Processing Rate: 75.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0350	0.0520	0.0509	0.0511
16	0.0647	0.0992	0.0999	0.1015
32	0.1245	0.1981	0.1962	0.1955
64	0.2523	0.3748	0.3844	0.3775
128	0.5387	0.7173	0.7257	0.7172
256	1.0901	1.2955	1.2994	1.2862
512	2.1840	2.5081	2.5593	2.5108
1024	3.7059	4.4407	4.4546	4.3744
2048	5.2499	6.9248	6.9823	6.9066
4096	6.7407	9.0396	9.1673	9.1471
8192	7.9939	10.8399	10.8582	10.8267
16384	8.7052	11.9266	11.9449	11.9340
32768	9.1266	12.5444	12.5758	12.5533
65536	9.1780	12.8934	12.8758	12.9074
131072	9.4276	13.0650	13.0519	13.0746
262144	9.5268	13.1128	13.1149	13.1395
524288	9.5581	13.0798	13.1035	13.1301
1048576	9.5167	12.9449	13.0031	13.0869
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0316	0.0500	0.0496	0.0497
16	0.0635	0.0959	0.0972	0.0940
32	0.1307	0.1858	0.1895	0.1861
64	0.2723	0.3468	0.3536	0.3568
128	0.5506	0.6412	0.6697	0.6587
256	1.1198	1.2818	1.2871	1.2809
512	2.1937	2.1996	2.2525	2.2879
1024	3.4485	4.1239	4.1508	4.1520
2048	4.6828	5.8286	5.9111	5.8672
4096	5.7815	7.1740	7.4266	7.4095
8192	6.6340	8.4062	8.5184	8.4960
16384	7.0510	9.1815	9.1687	9.1868
32768	7.4293	9.5561	9.5167	9.5591
65536	7.5094	9.7511	9.7389	9.7525
131072	7.5996	9.8340	9.8306	9.8453
262144	7.6863	9.8575	9.8587	9.8725
524288	7.6920	9.8228	9.8353	9.8621
