 Throughput Test - Thu Jan 26 11:29:29 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Streaming Read.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0175	0.0187	0.0185	0.0184
16	0.0360	0.0366	0.0365	0.0375
32	0.0708	0.0738	0.0732	0.0715
64	0.1472	0.1482	0.1471	0.1480
128	0.2900	0.2890	0.2876	0.2974
256	0.6038	0.5759	0.5970	0.5633
512	1.1774	1.1699	1.1850	1.1494
1024	2.0817	2.1649	2.0180	1.9672
2048	3.9019	3.8012	3.9065	3.9061
4096	7.7797	7.8101	7.8111	7.5691
8192	12.3142	12.5000	12.1664	12.5014
16384	17.8387	17.9030	17.9054	17.9132
32768	24.9485	24.6423	24.5707	24.4335
65536	29.3848	28.7614	28.6456	28.7813
131072	32.8680	32.2286	32.2135	32.2174
262144	34.7218	34.3113	35.0459	34.6209
524288	34.8556	34.9145	34.8904	35.0839
1048576	35.3896	35.4581	35.4550	35.4756
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0183	0.0176	0.0182	0.0170
16	0.0365	0.0359	0.0360	0.0343
32	0.0706	0.0700	0.0701	0.0644
64	0.1156	0.1395	0.1434	0.1422
128	0.2906	0.2943	0.2962	0.3023
256	0.5696	0.5850	0.5845	0.5732
512	1.1363	1.1257	1.2081	1.2291
1024	1.9522	2.1879	2.2011	2.2072
2048	3.8996	3.8327	3.8918	3.8929
4096	7.3288	7.7988	7.8077	7.7718
8192	9.7529	12.4283	12.4989	12.4988
16384	15.2274	17.9267	17.9157	17.8626
32768	19.5967	24.7649	24.5964	24.5865
65536	22.7525	29.4358	29.1064	29.0729
131072	24.6655	32.7655	32.7421	32.7804
262144	25.7980	34.9049	34.9986	34.7467
524288	25.7839	34.7378	34.7847	34.8850
1048576	26.1040	35.2125	35.0728	35.3126
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0183	0.0182	0.0185	0.0181
16	0.0348	0.0355	0.0368	0.0362
32	0.0733	0.0740	0.0757	0.0711
64	0.1492	0.1517	0.1424	0.1499
128	0.2890	0.2959	0.2884	0.2894
256	0.5463	0.6010	0.6132	0.5983
512	1.0050	1.2004	1.2149	1.1999
1024	1.9523	2.2005	2.2104	2.1981
2048	3.9025	3.9035	3.9030	3.9064
4096	6.2492	7.8104	7.8107	7.8107
8192	10.3793	12.4956	12.4991	12.4961
16384	13.8461	17.9511	17.8952	17.8804
32768	16.6573	24.9706	24.4369	24.6875
65536	18.5166	29.6377	29.1805	29.1219
131072	19.6922	33.1794	33.2345	33.2217
262144	20.4701	35.1723	35.1942	35.0374
524288	20.5483	34.7979	34.5344	34.8747
1048576	20.7095	34.7868	34.9121	34.9705
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0180	0.0184	0.0187	0.0179
16	0.0368	0.0367	0.0360	0.0378
32	0.0737	0.0741	0.0728	0.0737
64	0.1418	0.1441	0.1460	0.1461
128	0.2785	0.2949	0.2856	0.2864
256	0.5239	0.5679	0.5953	0.6159
512	0.9803	1.1648	1.1600	1.1719
1024	1.9512	2.1989	2.2001	2.2019
2048	3.9029	3.9063	3.9064	3.9063
4096	6.2438	7.8082	7.8103	7.8104
8192	8.9239	12.4856	12.4980	12.4968
16384	11.4486	18.1310	18.0393	18.0014
32768	14.1370	24.9006	24.6063	24.8071
65536	15.6215	30.3529	29.4360	29.4635
131072	16.5117	32.6112	32.9358	33.0509
262144	16.9505	32.7772	32.8286	32.9491
524288	17.0071	32.6200	32.7406	32.8902
1048576	17.1481	32.2645	32.4732	32.5919
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0182	0.0183	0.0183	0.0192
16	0.0369	0.0375	0.0382	0.0373
32	0.0760	0.0711	0.0730	0.0741
64	0.1409	0.1424	0.1434	0.1444
128	0.2695	0.2938	0.2936	0.2936
256	0.5070	0.5800	0.5723	0.5915
512	0.9760	1.1276	1.1902	1.1461
1024	1.9509	2.2035	2.2000	2.2026
2048	3.8843	3.9061	3.9058	3.9064
4096	5.6444	7.8022	7.8118	7.8106
8192	8.4527	12.4955	12.4956	12.4959
