 Throughput Test - Thu Jan 26 11:52:12 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Streaming Write.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0602	0.0609	0.0610	0.0610
16	0.1211	0.1218	0.1219	0.1218
32	0.2426	0.2385	0.2432	0.2440
64	0.4804	0.4875	0.4878	0.4866
128	0.9688	0.9738	0.9759	0.9760
256	1.9301	1.9493	1.9486	1.9517
512	3.6023	3.8947	3.9025	3.8987
1024	7.6020	7.7135	7.7096	7.7936
2048	7.8051	7.9964	7.9661	8.1180
4096	15.4400	15.5964	15.6104	15.6006
8192	20.6733	20.7927	20.7697	20.8165
16384	24.5423	22.6321	23.6043	24.2746
32768	24.9889	25.3451	26.8559	27.0175
65536	27.6928	28.1083	28.4301	28.6221
131072	28.8242	29.1507	29.4781	29.6257
262144	29.5936	29.9599	30.0122	30.0882
524288	28.9072	30.5359	30.3382	30.1240
1048576	30.6002	30.5374	30.4435	28.0953
Processing Rate: 10.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0597	0.0609	0.0608	0.0609
16	0.1208	0.1218	0.1214	0.1220
32	0.2420	0.2441	0.2438	0.2440
64	0.4850	0.4841	0.4735	0.4882
128	0.9687	0.9717	0.9720	0.9723
256	1.9290	1.9490	1.9520	1.9413
512	3.8498	3.9015	3.9000	3.9031
1024	7.2269	7.3719	7.7948	7.7934
2048	7.8087	8.0049	8.0972	7.8752
4096	10.8012	15.5940	15.5199	15.6191
8192	15.5875	20.7652	20.7394	20.7291
16384	18.1588	22.6519	23.7352	24.3117
32768	20.5490	26.2086	26.8719	27.2223
65536	21.6790	28.3025	28.4685	28.6653
131072	22.3897	29.1648	29.5914	29.6651
262144	22.8045	29.8343	29.9254	29.9142
524288	23.3297	30.3276	30.1803	30.2769
1048576	23.2629	30.3146	29.1730	28.3921
Processing Rate: 20.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0599	0.0610	0.0609	0.0610
16	0.1197	0.1217	0.1219	0.1220
32	0.2394	0.2436	0.2436	0.2440
64	0.4799	0.4870	0.4881	0.4881
128	0.9635	0.9748	0.9753	0.9764
256	1.9220	1.9398	1.8878	1.9522
512	3.8180	3.8893	3.9025	3.9012
1024	5.3299	7.7766	7.7580	7.7123
2048	7.7598	8.0937	7.8343	7.9490
4096	10.3683	15.6163	15.6137	15.6169
8192	14.5771	20.7610	20.7484	20.7642
16384	15.6151	22.5849	23.7579	24.3530
32768	16.6595	26.2575	26.3683	27.3060
65536	17.8205	28.2088	28.6298	28.8265
131072	18.2732	29.3188	29.4377	29.5368
262144	18.5609	29.8658	29.9786	29.9193
524288	18.9157	30.2131	30.1657	30.2215
1048576	18.9717	30.0109	30.0199	29.6598
Processing Rate: 30.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0606	0.0609	0.0610	0.0610
16	0.1212	0.1203	0.1203	0.1219
32	0.2418	0.2428	0.2440	0.2440
64	0.4824	0.4597	0.4879	0.4879
128	0.9652	0.9730	0.9758	0.9761
256	1.9303	1.9488	1.9525	1.9525
512	3.8199	3.8805	3.9034	3.8948
1024	3.8679	7.7512	7.7629	7.7796
2048	7.7693	7.9463	7.8214	7.9174
4096	10.3662	15.5875	15.6170	15.6182
8192	12.4807	20.7718	20.7517	20.7704
16384	13.8745	22.6144	23.7407	24.2948
32768	14.5697	26.2117	26.8809	27.2564
65536	15.1333	28.1556	28.4298	28.5430
131072	15.4278	29.3373	29.4281	29.6318
262144	15.6587	29.7140	30.0240	30.0207
524288	15.9227	30.0425	30.0022	30.1039
1048576	15.9392	29.8258	29.6245	29.8495
Processing Rate: 40.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0606	0.0610	0.0610	0.0610
16	0.1212	0.1219	0.1220	0.1220
32	0.2424	0.2440	0.2439	0.2440
64	0.4845	0.4876	0.4874	0.4881
128	0.9688	0.9756	0.9760	0.9762
