 Throughput Test - Thu Jan 26 14:15:54 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Block Handshake Synchronous Read.txt
Program Compiled As: x64
IO Model: Block Handshake

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0202	0.0203	0.0202	0.0203	0.0203	0.0203	0.0202	0.0203
16	0.0404	0.0407	0.0403	0.0406	0.0406	0.0407	0.0404	0.0407
32	0.0809	0.0813	0.0809	0.0814	0.0813	0.0812	0.0810	0.0814
64	0.1618	0.1623	0.1623	0.1621	0.1625	0.1625	0.1626	0.1606
128	0.3217	0.3237	0.3248	0.3231	0.3245	0.3252	0.3249	0.3230
256	0.6462	0.6509	0.6510	0.6461	0.6508	0.6507	0.6505	0.6443
512	1.2947	1.3021	1.3006	1.2873	1.2995	1.2987	1.3001	1.0231
1024	2.5703	2.5934	2.6025	2.5993	2.5098	1.9524	1.9526	1.9524
2048	5.1675	3.9023	3.9062	3.9038	3.8955	3.9048	3.1249	3.1237
4096	7.7911	7.8104	7.8045	6.2483	6.2491	6.2350	5.2059	4.4645
8192	12.4744	12.4321	10.4147	10.3965	8.9013	7.8032	6.9241	5.6780
16384	17.7137	15.6014	13.8800	12.4764	10.4165	9.5900	7.8037	6.5699
32768	22.5910	19.1627	15.5853	13.8692	11.9057	10.8365	8.6152	6.9443
65536	25.9562	20.8155	17.2223	14.6822	12.8159	11.3638	8.9148	7.2361
131072	28.3883	22.2235	18.1280	15.3618	13.3319	11.7444	9.0483	7.4048
262144	29.6220	22.9602	18.5762	15.7483	13.5872	11.9509	9.1927	7.4908
524288	30.3424	23.2931	18.8799	15.9147	13.7441	12.0847	9.2707	7.5321
1048576	30.6416	23.5973	19.0684	16.0285	13.8120	12.1397	9.3100	7.5544
