 Throughput Test - Thu Jan 26 14:11:24 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-FIFO Handshake Synchronous Read.txt
Program Compiled As: x64
IO Model: FIFO Handshake

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0202	0.0203	0.0203	0.0202	0.0203	0.0203	0.0203	0.0203
16	0.0405	0.0407	0.0407	0.0405	0.0406	0.0407	0.0407	0.0405
32	0.0803	0.0810	0.0812	0.0813	0.0804	0.0813	0.0813	0.0814
64	0.1605	0.1627	0.1627	0.1626	0.1612	0.1627	0.1627	0.1625
128	0.3205	0.3254	0.3253	0.3251	0.3229	0.3253	0.3247	0.3249
256	0.6434	0.6501	0.6510	0.6508	0.6492	0.6449	0.6483	0.6502
512	1.2967	1.2945	1.3018	1.2980	1.2985	1.2927	1.1065	0.9766
1024	2.5784	2.5782	2.5560	1.9531	1.9531	1.9524	1.9516	1.9504
2048	3.9020	3.8931	3.9062	3.9062	3.9023	3.9033	3.1210	3.1229
4096	7.7569	7.7821	6.2499	6.2484	6.2420	5.2082	5.1715	4.4628
8192	12.3745	10.4161	10.3093	8.9147	7.8023	7.8042	6.2372	5.6581
16384	15.4704	13.8159	11.3379	10.4165	9.6069	8.8137	6.9193	5.9040
32768	17.7613	14.7053	13.1344	11.3433	10.4097	9.2484	7.5756	6.4102
65536	19.1048	16.1233	13.8545	12.1601	10.8510	9.8029	7.8112	6.4940
131072	19.8894	16.6491	14.2647	12.4955	10.9755	9.8938	7.9298	6.6316
262144	20.2957	16.9158	14.3781	12.5417	11.1734	10.0615	8.0607	6.7057
524288	20.5089	17.0211	14.5440	12.7064	11.2940	10.1512	8.0915	6.7333
1048576	20.6525	17.0849	14.6487	12.7593	11.3289	10.1747	8.1100	6.7446
