 Throughput Test - Fri Jan 20 17:08:44 2012

--------------------------------------------------------------------------------
Platform: Linux
Program Compiled As: x64
IO Model: Full Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0203
16	0.0406
32	0.0813
64	0.1622
128	0.3252
256	0.6496
512	1.2999
1024	1.9511
2048	3.8938
4096	6.0310
8192	7.8085
16384	9.6001
32768	10.8662
65536	11.3630
131072	12.0472
262144	12.2540
524288	12.3814
1048576	12.4357
2097152	12.4662
4194304	12.4785
8388608	12.4910
16777216	0.0000

