 Throughput Test - Fri Jan 20 17:12:34 2012

--------------------------------------------------------------------------------
Platform: Linux
Program Compiled As: x64
IO Model: Full Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0610
16	0.1219
32	0.2439
64	0.4878
128	0.9758
256	1.9477
512	3.9016
1024	7.8081
2048	7.9339
4096	10.4098
8192	12.4974
16384	12.4955
32768	12.4943
65536	12.4961
131072	12.4971
262144	12.4990
524288	12.4987
1048576	12.4922
2097152	12.4996
4194304	12.4987
8388608	12.4988
16777216	12.4958

