 Throughput Test - Thu Jan 26 11:33:50 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Synchronous Read.txt
Program Compiled As: x64
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0202	0.0203	0.0202	0.0202	0.0203	0.0203	0.0203	0.0203
16	0.0397	0.0402	0.0402	0.0406	0.0404	0.0406	0.0407	0.0404
32	0.0799	0.0812	0.0813	0.0810	0.0809	0.0813	0.0814	0.0814
64	0.1610	0.1626	0.1628	0.1627	0.1614	0.1625	0.1622	0.1624
128	0.3229	0.3245	0.3250	0.3252	0.3251	0.3243	0.3244	0.3248
256	0.6488	0.6463	0.6501	0.6502	0.6505	0.6455	0.6508	0.6499
512	1.2874	1.2956	1.3021	1.3005	1.3018	1.2953	1.3018	1.3014
1024	2.5872	2.5902	2.5977	2.6022	2.6016	2.5899	1.9519	1.9507
2048	5.1740	5.1907	4.0043	3.9062	3.9062	3.8735	3.8920	3.1163
4096	7.7871	7.8016	7.7879	6.2514	6.2491	6.2381	5.2079	4.4533
8192	15.4739	12.4946	10.3653	10.4148	8.9280	7.8950	6.9345	5.6815
16384	20.7049	15.6232	13.8661	12.4983	11.1960	9.6032	7.8037	6.5773
32768	24.9158	19.2228	16.5120	13.8536	12.4995	10.8555	8.6195	7.1312
65536	27.5573	21.7233	17.8552	15.0745	13.1548	11.6107	8.9282	7.2479
131072	29.1427	22.7232	18.5050	15.6194	13.3319	11.7620	9.0809	7.4075
262144	30.0789	23.2272	18.6849	15.7483	13.5805	11.9763	9.2179	7.4916
524288	30.3462	23.3627	18.9364	15.9405	13.7442	12.0833	9.2628	7.5330
1048576	30.5886	23.5979	19.0911	16.0321	13.8018	12.1369	9.3089	7.5597
