 Throughput Test - Thu Jan 26 13:48:27 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Synchronous Write.txt
Program Compiled As: x64
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0608	0.0610	0.0609	0.0608	0.0609	0.0610	0.0610	0.0609
16	0.1216	0.1216	0.1221	0.1218	0.1214	0.1220	0.1220	0.1221
32	0.2419	0.2441	0.2438	0.2438	0.2429	0.2441	0.2441	0.2438
64	0.4852	0.4874	0.4874	0.4882	0.4860	0.4874	0.4880	0.4882
128	0.9610	0.9723	0.9765	0.9765	0.9761	0.9749	0.9765	0.9752
256	1.9403	1.9424	1.9519	1.9524	1.9527	1.9483	1.9507	1.9524
512	3.8563	3.8946	3.8887	3.8956	3.8941	3.8877	3.8999	3.9038
1024	7.7811	7.7832	7.8106	7.8067	7.8086	7.7090	7.7861	3.9048
2048	15.4926	15.5488	15.5664	7.9345	7.8105	7.8085	7.7995	5.2069
4096	24.8133	15.6208	15.6149	15.6032	10.3891	10.4138	7.8129	6.2495
8192	30.9826	20.8061	15.6240	15.6163	12.4602	11.1151	8.9259	6.9381
16384	30.9209	20.7812	17.7387	15.5721	13.8783	11.3479	8.9230	7.3529
32768	30.8519	22.7064	19.1988	15.5990	13.8726	11.8730	9.2522	7.5747
65536	30.8970	23.6554	19.1928	16.0651	13.8700	12.1755	9.2543	7.5660
131072	30.9594	23.7392	19.1809	16.0371	13.8562	12.1787	9.3378	7.5347
262144	31.0076	23.7569	19.1760	16.0675	13.8616	12.1334	9.2865	7.5232
524288	30.8713	23.7340	19.1862	16.0314	13.7543	12.1228	9.2933	7.5473
1048576	30.8744	23.7225	19.0797	15.9923	13.7425	12.1454	9.3003	7.5446
