 Throughput Test - Thu Jan 26 11:32:35 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Synchronous Read.txt
Program Compiled As: x64
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0141	0.0141	0.0143	0.0142	0.0139	0.0141	0.0141	0.0142
16	0.0280	0.0287	0.0282	0.0287	0.0279	0.0287	0.0278	0.0278
32	0.0559	0.0566	0.0563	0.0565	0.0563	0.0566	0.0563	0.0564
64	0.1136	0.1129	0.1130	0.1132	0.1121	0.1146	0.1129	0.1145
128	0.2274	0.2222	0.2256	0.2239	0.2279	0.2261	0.2267	0.2269
256	0.4559	0.4523	0.4554	0.4515	0.4543	0.4486	0.4480	0.4470
512	0.8966	0.8876	0.9114	0.8704	0.8662	0.8654	0.8726	0.8819
1024	1.7335	1.7903	1.7189	1.6919	1.6453	1.6628	1.5185	1.5059
2048	3.2725	3.3620	3.2926	3.1549	2.9317	2.9429	3.0708	2.5292
4096	6.2766	5.3896	5.7007	5.6767	5.3768	4.8069	4.4699	4.2073
8192	10.2056	9.2984	9.2699	8.5109	8.1083	7.7460	6.4006	5.6235
16384	16.5565	14.6871	13.1817	11.9155	10.5914	9.5602	7.7332	6.4771
32768	23.1010	19.3514	16.5156	13.8791	12.4149	10.8690	8.5651	7.1146
65536	29.7577	23.2959	18.9191	15.8699	13.7376	12.0893	9.2925	7.5354
131072	34.5108	26.0763	20.6867	17.1519	14.6343	12.7605	9.6818	7.7962
262144	37.5905	27.4691	21.5762	17.7830	15.0738	13.1160	9.8719	7.9167
524288	37.6409	27.4241	21.5107	17.6745	15.0387	13.0778	9.8572	7.9037
1048576	37.6499	27.3373	21.4787	17.6757	15.0294	13.0674	9.8402	7.8935
