 Throughput Test - Thu Jan 26 11:54:47 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Synchronous Write.txt
Program Compiled As: x64
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0310	0.0323	0.0294	0.0300	0.0295	0.0303	0.0300	0.0309
16	0.0617	0.0613	0.0604	0.0612	0.0608	0.0618	0.0590	0.0594
32	0.1232	0.1225	0.1208	0.1242	0.1177	0.1202	0.1168	0.1185
64	0.2423	0.2425	0.2325	0.2471	0.2312	0.2393	0.2358	0.2428
128	0.4759	0.4771	0.4676	0.4790	0.4784	0.4831	0.4738	0.4842
256	0.9536	0.9735	0.9477	0.9604	0.9485	0.9686	0.9458	0.9767
512	1.9123	1.9330	1.8996	1.9256	1.8794	1.9184	1.9266	1.9372
1024	3.7398	3.9097	3.7786	3.8362	3.8499	3.8583	3.4168	2.4932
2048	6.9999	7.3074	7.4404	5.1327	4.7452	4.4533	5.1895	3.6113
4096	7.8767	7.3550	7.2987	7.1260	6.5893	6.5073	6.2548	5.3081
8192	11.2890	10.0152	9.8190	9.3292	8.9662	8.1400	6.8662	5.8177
16384	14.0102	11.6291	10.9187	9.7466	8.9710	8.1870	6.8444	5.8108
32768	19.1334	13.5747	11.9494	10.5869	9.6651	8.6964	7.2452	6.0840
65536	20.3072	15.7509	13.7469	11.8942	10.8448	9.6514	7.7773	6.5070
131072	23.6005	18.6733	15.8033	13.6007	12.0504	10.7119	8.5076	6.9769
262144	26.1676	20.1175	17.0224	14.3606	12.5341	11.1621	8.7309	7.1740
524288	26.0063	20.4618	17.1175	14.4218	12.6533	11.3024	8.7559	7.2006
1048576	25.8337	20.6478	16.9667	14.4316	12.6685	11.2719	8.7548	7.1985
