 Throughput Test - Thu Jan 26 14:23:38 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Block Handshake Synchronous Write.txt
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0601	0.0598	0.0605	0.0604	0.0603	0.0606	0.0605	0.0605
16	0.1210	0.1206	0.1211	0.1209	0.1214	0.1212	0.1214	0.1212
32	0.2427	0.2420	0.2427	0.2415	0.2416	0.2413	0.2425	0.2418
64	0.4844	0.4838	0.4842	0.4846	0.4838	0.4830	0.4833	0.4831
128	0.9672	0.9667	0.9662	0.9630	0.9641	0.9641	0.9644	0.9564
256	1.9216	1.9220	1.9289	1.9216	1.9192	1.9184	1.6678	1.2851
512	3.8310	3.8307	3.7929	2.0930	1.9523	1.9511	1.9498	1.9507
1024	3.9311	3.8891	3.9041	3.8881	3.8939	3.8754	3.8681	3.8440
2048	7.7716	6.7138	5.9023	5.5992	5.2888	5.1870	4.1371	3.9404
4096	9.2078	8.3775	7.9307	7.8136	7.6645	6.5455	5.8571	5.9245
8192	12.2764	11.0319	10.0395	9.1217	8.1115	7.8444	7.4044	6.5302
16384	14.8309	12.3400	11.1763	10.2816	9.0824	8.4078	7.0100	6.8712
32768	17.3236	13.8495	12.0195	10.6519	9.6889	10.0354	8.9251	7.3099
65536	17.8529	14.7713	12.8265	11.2863	10.0162	9.0024	7.4618	7.3679
131072	19.2468	15.1203	12.9829	11.2877	10.2034	9.2609	7.4397	7.4135
262144	19.0846	16.3913	13.5532	11.7236	10.3155	9.2952	7.8630	7.4860
524288	19.4436	15.5585	13.5413	11.9623	10.3677	9.3990	7.5734	7.2873
1048576	19.9962	15.6219	13.4413	12.4980	10.9896	10.5115	9.0368	7.3053
