 Throughput Test - Fri Jan 20 13:18:19 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0195
16	0.0396
32	0.0798
64	0.1592
128	0.3190
256	0.6134
512	1.2620
1024	2.2161
2048	4.0639
4096	7.7649
8192	11.4631
16384	16.0745
32768	22.3038
65536	26.5068
131072	29.8755
262144	31.7363
524288	33.6983
1048576	34.2522
2097152	34.6172
4194304	34.8148
8388608	34.8463
16777216	34.8148

