 Throughput Test - Fri Jan 20 12:10:25 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0157
16	0.0328
32	0.0641
64	0.1275
128	0.2551
256	0.5089
512	1.0222
1024	1.9890
2048	3.8817
4096	6.3158
8192	10.5952
16384	15.9239
32768	21.0765
65536	26.4280
131072	29.7099
262144	31.6670
524288	33.7092
1048576	34.3757
2097152	34.5812
4194304	34.8078
8388608	34.8347
16777216	34.8635

