 Throughput Test - Fri Jan 20 13:20:44 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0590
16	0.1201
32	0.2392
64	0.4802
128	0.9576
256	1.9143
512	3.8347
1024	4.1432
2048	7.7546
4096	9.3785
8192	12.6640
16384	15.1772
32768	16.8964
65536	18.3860
131072	18.6667
262144	19.3701
524288	19.6130
1048576	19.6224
2097152	19.7559
4194304	19.5912
8388608	19.7630
16777216	19.9360

