 Throughput Test - Thu Jan 26 14:26:35 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-FIFO Handshake Synchronous Write.txt
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0601	0.0600	0.0599	0.0599	0.0600	0.0598	0.0601	0.0601
16	0.1201	0.1201	0.1201	0.1199	0.1197	0.1203	0.1198	0.1201
32	0.2398	0.2407	0.2410	0.2420	0.2412	0.2421	0.2416	0.2416
64	0.4838	0.4834	0.4806	0.4832	0.4841	0.4827	0.4827	0.4824
128	0.9656	0.9666	0.9676	0.9688	0.9689	0.9664	0.9687	0.9625
256	1.9314	1.9362	1.9251	1.9379	1.9255	1.9179	1.6588	1.2975
512	3.8525	3.8409	3.8090	2.1860	1.9374	1.9486	1.9395	1.9442
1024	3.9108	3.9073	3.9000	3.8973	3.8927	3.8765	3.8726	3.8676
2048	7.6874	6.7800	5.8299	5.7625	5.2455	5.1920	4.0778	3.9184
4096	9.0110	8.0258	7.8312	7.8751	7.6764	6.5156	5.8366	5.5564
8192	11.8486	10.8115	9.8957	9.1239	7.9484	7.8165	6.5513	6.1595
16384	14.3564	12.0463	11.2361	10.0548	9.0630	8.3475	6.9463	6.8651
32768	16.5616	13.5178	11.7732	10.4978	9.5465	8.7898	8.1167	7.1216
65536	17.3985	14.2920	12.6067	13.1795	9.9431	8.9726	7.3489	7.1058
131072	18.3041	14.6695	12.6674	11.1742	10.0344	9.1062	7.6493	7.2445
262144	18.5638	14.9115	13.0314	11.4998	10.3533	9.1822	8.5831	7.2706
524288	18.6952	14.8871	13.2809	11.6401	10.2007	10.0190	8.2291	7.2887
1048576	19.4022	15.2631	12.9830	12.0974	10.7806	10.5241	8.7043	7.2917
