 Throughput Test - Fri Jan 20 13:14:47 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0157
16	0.0324
32	0.0641
64	0.1286
128	0.2568
256	0.5057
512	1.0014
1024	1.9616
2048	3.8710
4096	5.9189
8192	9.5142
16384	14.1211
32768	18.7364
65536	22.2396
131072	24.9023
262144	26.3275
524288	27.1726
1048576	27.5622
2097152	27.7981
4194304	27.9136
8388608	28.1944
16777216	28.1058

