 Throughput Test - Fri Jan 20 12:07:42 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0155
16	0.0321
32	0.0636
64	0.1265
128	0.2536
256	0.4991
512	1.0100
1024	1.9572
2048	3.8810
4096	6.0003
8192	9.4124
16384	14.0843
32768	18.5783
65536	22.3477
131072	24.8995
262144	26.3467
524288	27.1986
1048576	27.6116
2097152	27.7910
4194304	27.9302
8388608	28.0507
16777216	28.0116

