 Throughput Test - Fri Jan 20 13:12:15 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	Throughput (MB/s)
8	0.0591
16	0.1196
32	0.2385
64	0.4799
128	0.9551
256	1.9043
512	3.8300
1024	4.0345
2048	7.6341
4096	9.0210
8192	12.4802
16384	15.1779
32768	16.9223
65536	17.9824
131072	18.6430
262144	19.0855
524288	19.2989
1048576	19.6051
2097152	19.6243
4194304	19.6330
8388608	19.7221
16777216	20.4590

