 Throughput Test - Fri Jan 20 12:16:13 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Full Handshake
NOTE: RDY0 connected to CTL5 to perform test.  The 16 MB/s test failed.

Packet Size (Bytes)	Throughput (MB/s)
8	0.0158
16	0.0324
32	0.0644
64	0.1281
128	0.2559
256	0.4969
512	0.9688
1024	1.9356
2048	2.8371
4096	4.6194
8192	6.9031
16384	8.9263
32768	10.5015
65536	11.6435
131072	12.2984
262144	12.6106
524288	12.8132
1048576	12.9369
2097152	12.9783
4194304	13.0032
8388608	13.0126
16777216	0.0000 (failed)

