 Throughput Test - Fri Jan 20 13:26:03 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Full Handshake
NOTE: RDY0 connected to CTL5 to perform test.  The 16 MB/s test failed.

Packet Size (Bytes)	Throughput (MB/s)
8	0.0600
16	0.1202
32	0.2409
64	0.4829
128	0.9650
256	1.9204
512	3.8217
1024	4.1709
2048	7.7159
4096	7.7012
8192	9.5223
16384	10.6440
32768	11.5429
65536	12.0637
131072	12.3736
262144	12.4789
524288	12.5424
1048576	12.6009
2097152	12.6176
4194304	12.6402
8388608	12.6467
16777216	0.0000 (failed)

