 Throughput Test - Fri Jan 20 12:25:37 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0157
16	0.0314
32	0.0642
64	0.1283
128	0.2481
256	0.5005
512	0.9907
1024	1.9802
2048	3.8872
4096	6.1776
8192	10.4067
16384	15.9229
32768	21.0635
65536	26.3506
131072	29.4958
262144	31.5333
524288	33.6024
1048576	34.2917
2097152	34.5595
4194304	34.7464
8388608	34.8196
16777216	34.8222

