 Throughput Test - Fri Jan 20 12:52:49 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0592
16	0.1199
32	0.2390
64	0.4794
128	0.9538
256	1.9178
512	3.7799
1024	4.3116
2048	7.7084
4096	8.9950
8192	12.5102
16384	15.1353
32768	16.8133
65536	17.9215
131072	20.4030
262144	18.9530
524288	19.1157
1048576	19.9065
2097152	19.5331
4194304	19.6025
8388608	19.6218
16777216	19.8698

