 Throughput Test - Fri Jan 20 12:31:01 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0157
16	0.0319
32	0.0638
64	0.1285
128	0.2534
256	0.5087
512	0.9946
1024	1.9759
2048	3.8935
4096	6.2258
8192	10.4508
16384	15.8338
32768	21.1348
65536	26.1878
131072	29.5909
262144	31.4494
524288	33.6574
1048576	34.2056
2097152	34.6226
4194304	34.7608
8388608	34.7915
16777216	34.7993

