 Throughput Test - Fri Jan 20 12:22:05 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0157
16	0.0320
32	0.0643
64	0.1278
128	0.2577
256	0.5174
512	1.0149
1024	1.9795
2048	3.8849
4096	6.2804
8192	10.4840
16384	15.9261
32768	21.0764
65536	26.2030
131072	29.4687
262144	31.6679
524288	33.4838
1048576	34.3005
2097152	34.6090
4194304	34.7512
8388608	34.8337
16777216	34.8073

