 Throughput Test - Fri Jan 20 12:57:50 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0591
16	0.1189
32	0.2396
64	0.4767
128	0.9621
256	1.9118
512	3.8190
1024	4.5850
2048	7.6425
4096	9.2250
8192	12.6142
16384	15.2833
32768	17.1525
65536	18.5860
131072	19.3390
262144	19.5757
524288	19.9242
1048576	20.3213
2097152	20.6596
4194304	20.3933
8388608	20.3158
16777216	20.8339

