 Throughput Test - Fri Jan 20 12:50:18 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0596
16	0.1199
32	0.2411
64	0.4771
128	0.9613
256	1.9095
512	3.8319
1024	7.3149
2048	7.7787
4096	9.9156
8192	12.5511
16384	15.6707
32768	18.1053
65536	19.0481
131072	19.9988
262144	20.3449
524288	21.0302
1048576	21.1263
2097152	20.7849
4194304	21.2136
8388608	21.5801
16777216	21.2958

