 Throughput Test - Fri Jan 20 13:06:05 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Simple I/O

Packet Size (Bytes)	Throughput (MB/s)
8	0.0200
16	0.0403
32	0.0806
64	0.1601
128	0.3206
256	0.6449
512	1.2741
1024	2.2879
2048	3.9505
4096	7.7480
8192	10.4164
16384	15.4140
32768	19.2839
65536	22.6064
131072	24.3145
262144	25.5801
524288	26.4997
1048576	26.7454
2097152	26.9762
4194304	27.0589
8388608	27.0862
16777216	27.0976

