 Throughput Test - Fri Jan 20 13:03:42 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Simple I/O

Packet Size (Bytes)	Throughput (MB/s)
8	0.0200
16	0.0403
32	0.0805
64	0.1615
128	0.3122
256	0.6421
512	1.2822
1024	2.5527
2048	4.1186
4096	7.7604
8192	11.9870
16384	16.8565
32768	22.6759
65536	26.9144
131072	30.0246
262144	31.9294
524288	33.6886
1048576	34.3060
2097152	34.6349
4194304	34.7838
8388608	34.8568
16777216	34.8110

