 Throughput Test - Thu Jan 26 11:17:16 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Synchronous Read.txt
Program Compiled As: x86
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0150	0.0152	0.0152	0.0152	0.0152	0.0152	0.0152	0.0152
16	0.0305	0.0304	0.0305	0.0299	0.0304	0.0304	0.0304	0.0305
32	0.0608	0.0617	0.0616	0.0616	0.0620	0.0614	0.0617	0.0612
64	0.1235	0.1232	0.1234	0.1233	0.1232	0.1229	0.1220	0.1218
128	0.2466	0.2472	0.2465	0.2443	0.2442	0.2439	0.2440	0.2435
256	0.4936	0.4921	0.4884	0.4870	0.4882	0.4880	0.4877	0.4880
512	0.9875	0.9741	0.9749	0.9756	0.9759	0.9746	0.9759	0.9761
1024	1.9495	1.9505	1.9515	1.9500	1.9500	1.9510	1.9459	1.6924
2048	3.9031	3.8968	3.8941	3.8132	3.2568	3.1237	3.1206	2.9522
4096	7.8010	6.2994	6.2418	6.2387	5.4099	5.2042	4.4644	4.3318
8192	10.4251	9.6897	8.9428	8.8803	7.8115	7.6151	6.2165	5.6328
16384	15.8091	15.0286	12.4900	11.3488	10.4067	9.5861	7.8095	6.5482
32768	21.2437	17.7448	15.5541	13.8601	11.9034	10.8487	8.5932	6.9905
65536	26.2238	20.9898	17.8481	15.1080	13.1549	11.6285	9.0876	7.3472
131072	29.4287	23.1903	19.0853	15.9793	13.7764	12.1898	9.3439	7.5762
262144	31.4157	24.0109	19.7703	16.4634	14.2459	12.4663	9.5070	7.6782
524288	33.6947	25.6698	20.5486	17.1704	14.7273	12.8703	9.7318	7.8243
1048576	34.2114	25.5121	20.6339	17.2958	14.8099	12.8825	9.7640	7.8537
