 Throughput Test - Fri Jan 20 13:09:26 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Simple I/O

Packet Size (Bytes)	Throughput (MB/s)
8	0.0592
16	0.1195
32	0.2393
64	0.4756
128	0.9623
256	1.9145
512	3.8293
1024	4.2123
2048	7.7398
4096	9.0244
8192	12.5167
16384	15.1415
32768	16.7934
65536	18.0367
131072	18.7951
262144	19.2696
524288	19.7869
1048576	19.3814
2097152	19.6996
4194304	19.6154
8388608	19.8159
16777216	19.9712

