 Throughput Test - Thu Jan 26 13:41:24 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Synchronous Write.txt
Program Compiled As: x86
IO Model: Simple IO

Packet Size (Bytes)	'0.0000 MS/MB	'10.0000 MS/MB	'20.0000 MS/MB	'30.0000 MS/MB	'40.0000 MS/MB	'50.0000 MS/MB	'75.0000 MS/MB	'100.0000 MS/MB
8	0.0597	0.0597	0.0600	0.0599	0.0597	0.0600	0.0600	0.0599
16	0.1199	0.1207	0.1208	0.1209	0.1204	0.1209	0.1210	0.1208
32	0.2419	0.2417	0.2420	0.2427	0.2419	0.2420	0.2415	0.2413
64	0.4836	0.4846	0.4847	0.4852	0.4840	0.4821	0.4834	0.4846
128	0.9664	0.9706	0.9686	0.9701	0.9672	0.9690	0.9634	0.9645
256	1.9325	1.9293	1.9286	1.9240	1.9111	1.9145	1.6528	1.2952
512	3.8525	3.8287	3.7973	2.0052	1.9406	1.9462	1.9415	1.9442
1024	3.9112	3.8918	3.8957	3.8989	3.8952	3.8808	3.8693	3.8651
2048	7.7401	6.7545	5.9004	5.6306	5.2424	5.1866	4.5010	4.8864
4096	10.7456	8.1692	7.8397	7.8859	7.7758	6.6831	5.8839	6.0009
8192	12.1723	10.5565	10.0621	9.2770	8.3641	7.8301	7.7444	6.5367
16384	14.8002	12.3596	11.0468	10.2559	9.1936	8.4574	7.8947	6.9391
32768	16.9136	13.8828	12.1321	10.7478	9.7211	8.9106	7.3138	7.2206
65536	18.6673	14.6611	12.7398	11.1869	10.0812	9.0556	7.4351	7.3371
131072	18.6799	15.1926	12.8979	11.5334	10.3295	9.2407	8.5396	7.4536
262144	19.3530	15.4672	13.3398	15.7250	13.5543	9.5563	8.8204	7.4835
524288	19.8845	15.4720	13.5511	11.9207	10.3908	11.4736	8.3615	7.4476
1048576	19.9245	15.9047	13.5239	11.7874	12.5597	11.8470	8.4878	7.3446
